speaker,segment,repetition,frame,coord,point,mm
1,ch,1,1,x,1,164.05700000000002
1,ch,1,1,x,2,165.04399999999998
1,ch,1,1,x,3,166.034
1,ch,1,1,x,4,167.01999999999998
1,ch,1,1,x,5,168.007
1,ch,1,1,x,6,168.993
1,ch,1,1,x,7,169.983
1,ch,1,1,x,8,170.97
1,ch,1,1,x,9,171.95600000000002
1,ch,1,1,x,10,172.94299999999998
1,ch,1,1,x,11,173.933
1,ch,1,1,x,12,174.91899999999998
1,ch,1,1,x,13,175.905
1,ch,1,1,x,14,176.892
1,ch,1,1,x,15,177.882
1,ch,1,1,x,16,178.868
1,ch,1,1,x,17,179.85500000000002
1,ch,1,1,x,18,180.841
1,ch,1,1,x,19,181.83100000000002
1,ch,1,1,x,20,182.81799999999998
1,ch,1,1,x,21,183.804
1,ch,1,1,x,22,184.79399999999998
1,ch,1,1,x,23,185.781
1,ch,1,1,x,24,186.767
1,ch,1,1,x,25,187.75400000000002
1,ch,1,1,x,26,188.743
1,ch,1,1,x,27,189.73000000000002
1,ch,1,1,x,28,190.716
1,ch,1,1,x,29,191.703
1,ch,1,1,x,30,192.69299999999998
1,ch,1,1,x,31,193.679
1,ch,1,1,x,32,194.666
1,ch,1,1,x,33,195.652
1,ch,1,1,x,34,196.642
1,ch,1,1,x,35,197.62900000000002
1,ch,1,1,x,36,198.615
1,ch,1,1,x,37,199.602
1,ch,1,1,x,38,200.59
1,ch,1,1,x,39,201.57999999999998
1,ch,1,1,x,40,202.56
1,ch,1,1,x,41,203.55
1,ch,1,1,x,42,204.54000000000002
1,ch,1,1,x,43,205.53
1,ch,1,1,x,44,206.51
1,ch,1,1,x,45,207.5
1,ch,1,1,x,46,208.49
1,ch,1,1,x,47,209.48000000000002
1,ch,1,1,x,48,210.45999999999998
1,ch,1,1,x,49,211.45
1,ch,1,1,x,50,212.44
1,ch,1,1,x,51,213.43
1,ch,1,1,x,52,214.41
1,ch,1,1,x,53,215.4
1,ch,1,1,x,54,216.39
1,ch,1,1,x,55,217.38
1,ch,1,1,x,56,218.36
1,ch,1,1,x,57,219.35
1,ch,1,1,x,58,220.34
1,ch,1,1,x,59,221.32
1,ch,1,1,x,60,222.31
1,ch,1,1,x,61,223.3
1,ch,1,1,x,62,224.29000000000002
1,ch,1,1,x,63,225.26999999999998
1,ch,1,1,x,64,226.26
1,ch,1,1,x,65,227.25
1,ch,1,1,x,66,228.24
1,ch,1,1,x,67,229.22
1,ch,1,1,x,68,230.21
1,ch,1,1,x,69,231.2
1,ch,1,1,x,70,232.19
1,ch,1,1,x,71,233.17
1,ch,1,1,x,72,234.16
1,ch,1,1,x,73,235.15
1,ch,1,1,x,74,236.14
1,ch,1,1,x,75,237.12
1,ch,1,1,x,76,238.11
1,ch,1,1,x,77,239.1
1,ch,1,1,x,78,240.08
1,ch,1,1,x,79,241.07
1,ch,1,1,x,80,242.06
1,ch,1,1,x,81,243.05
1,ch,1,1,x,82,244.03
1,ch,1,1,x,83,245.02
1,ch,1,1,x,84,246.01
1,ch,1,1,x,85,247
1,ch,1,1,x,86,247.98
1,ch,1,1,x,87,248.97
1,ch,1,1,x,88,249.96
1,ch,1,1,x,89,250.95
1,ch,1,1,x,90,251.93
1,ch,1,1,x,91,252.92
1,ch,1,1,x,92,253.91
1,ch,1,1,x,93,254.9
1,ch,1,1,x,94,255.88
1,ch,1,1,x,95,256.87
1,ch,1,1,x,96,257.86
1,ch,1,1,x,97,258.85
1,ch,1,1,x,98,259.83000000000004
1,ch,1,1,x,99,260.82
1,ch,1,1,x,100,261.81
1,ch,1,1,y,1,129.60500000000002
1,ch,1,1,y,2,128.29000000000002
1,ch,1,1,y,3,126.13999999999999
1,ch,1,1,y,4,123.601
1,ch,1,1,y,5,120.93700000000001
1,ch,1,1,y,6,118.326
1,ch,1,1,y,7,115.85500000000002
1,ch,1,1,y,8,113.594
1,ch,1,1,y,9,111.59700000000001
1,ch,1,1,y,10,109.858
1,ch,1,1,y,11,108.38
1,ch,1,1,y,12,107.12200000000001
1,ch,1,1,y,13,106.065
1,ch,1,1,y,14,105.143
1,ch,1,1,y,15,104.31900000000002
1,ch,1,1,y,16,103.57999999999998
1,ch,1,1,y,17,102.88499999999999
1,ch,1,1,y,18,102.231
1,ch,1,1,y,19,101.61000000000001
1,ch,1,1,y,20,101.007
1,ch,1,1,y,21,100.417
1,ch,1,1,y,22,99.84100000000001
1,ch,1,1,y,23,99.275
1,ch,1,1,y,24,98.72200000000001
1,ch,1,1,y,25,98.186
1,ch,1,1,y,26,97.67500000000001
1,ch,1,1,y,27,97.19299999999998
1,ch,1,1,y,28,96.75200000000001
1,ch,1,1,y,29,96.352
1,ch,1,1,y,30,95.97300000000001
1,ch,1,1,y,31,95.60300000000001
1,ch,1,1,y,32,95.23700000000002
1,ch,1,1,y,33,94.87799999999999
1,ch,1,1,y,34,94.529
1,ch,1,1,y,35,94.203
1,ch,1,1,y,36,93.905
1,ch,1,1,y,37,93.62
1,ch,1,1,y,38,93.356
1,ch,1,1,y,39,93.11200000000002
1,ch,1,1,y,40,92.888
1,ch,1,1,y,41,92.68799999999999
1,ch,1,1,y,42,92.52199999999999
1,ch,1,1,y,43,92.396000000000015
1,ch,1,1,y,44,92.305
1,ch,1,1,y,45,92.24700000000001
1,ch,1,1,y,46,92.23400000000001
1,ch,1,1,y,47,92.274
1,ch,1,1,y,48,92.356
1,ch,1,1,y,49,92.488
1,ch,1,1,y,50,92.68799999999999
1,ch,1,1,y,51,92.94900000000001
1,ch,1,1,y,52,93.244
1,ch,1,1,y,53,93.566
1,ch,1,1,y,54,93.905
1,ch,1,1,y,55,94.257
1,ch,1,1,y,56,94.61700000000002
1,ch,1,1,y,57,94.978999999999985
1,ch,1,1,y,58,95.34899999999999
1,ch,1,1,y,59,95.715
1,ch,1,1,y,60,96.08500000000001
1,ch,1,1,y,61,96.458
1,ch,1,1,y,62,96.84100000000001
1,ch,1,1,y,63,97.23700000000002
1,ch,1,1,y,64,97.668
1,ch,1,1,y,65,98.12900000000002
1,ch,1,1,y,66,98.60300000000001
1,ch,1,1,y,67,99.08800000000002
1,ch,1,1,y,68,99.57300000000001
1,ch,1,1,y,69,100.04399999999998
1,ch,1,1,y,70,100.49799999999999
1,ch,1,1,y,71,100.91500000000002
1,ch,1,1,y,72,101.315
1,ch,1,1,y,73,101.709
1,ch,1,1,y,74,102.11200000000002
1,ch,1,1,y,75,102.53899999999999
1,ch,1,1,y,76,102.976
1,ch,1,1,y,77,103.43099999999998
1,ch,1,1,y,78,103.899
1,ch,1,1,y,79,104.37700000000001
1,ch,1,1,y,80,104.858
1,ch,1,1,y,81,105.34300000000002
1,ch,1,1,y,82,105.82400000000001
1,ch,1,1,y,83,106.309
1,ch,1,1,y,84,106.79000000000002
1,ch,1,1,y,85,107.275
1,ch,1,1,y,86,107.75999999999999
1,ch,1,1,y,87,108.245
1,ch,1,1,y,88,108.739
1,ch,1,1,y,89,109.24100000000001
1,ch,1,1,y,90,109.77000000000001
1,ch,1,1,y,91,110.333
1,ch,1,1,y,92,110.93299999999999
1,ch,1,1,y,93,111.553
1,ch,1,1,y,94,112.18
1,ch,1,1,y,95,112.81400000000002
1,ch,1,1,y,96,113.465
1,ch,1,1,y,97,114.13
1,ch,1,1,y,98,114.787
1,ch,1,1,y,99,115.357
1,ch,1,1,y,100,115.713
1,ch,1,2,x,1,162.41
1,ch,1,2,x,2,163.427
1,ch,1,2,x,3,164.44400000000002
1,ch,1,2,x,4,165.461
1,ch,1,2,x,5,166.478
1,ch,1,2,x,6,167.49200000000002
1,ch,1,2,x,7,168.50900000000001
1,ch,1,2,x,8,169.526
1,ch,1,2,x,9,170.543
1,ch,1,2,x,10,171.56
1,ch,1,2,x,11,172.577
1,ch,1,2,x,12,173.594
1,ch,1,2,x,13,174.611
1,ch,1,2,x,14,175.628
1,ch,1,2,x,15,176.64499999999998
1,ch,1,2,x,16,177.65800000000002
1,ch,1,2,x,17,178.675
1,ch,1,2,x,18,179.692
1,ch,1,2,x,19,180.709
1,ch,1,2,x,20,181.726
1,ch,1,2,x,21,182.743
1,ch,1,2,x,22,183.76
1,ch,1,2,x,23,184.777
1,ch,1,2,x,24,185.79399999999998
1,ch,1,2,x,25,186.811
1,ch,1,2,x,26,187.825
1,ch,1,2,x,27,188.84199999999998
1,ch,1,2,x,28,189.85899999999998
1,ch,1,2,x,29,190.876
1,ch,1,2,x,30,191.893
1,ch,1,2,x,31,192.91
1,ch,1,2,x,32,193.92700000000002
1,ch,1,2,x,33,194.94400000000002
1,ch,1,2,x,34,195.961
1,ch,1,2,x,35,196.978
1,ch,1,2,x,36,197.99099999999999
1,ch,1,2,x,37,199.00799999999998
1,ch,1,2,x,38,200.03
1,ch,1,2,x,39,201.04000000000002
1,ch,1,2,x,40,202.06
1,ch,1,2,x,41,203.07999999999998
1,ch,1,2,x,42,204.09
1,ch,1,2,x,43,205.11
1,ch,1,2,x,44,206.13
1,ch,1,2,x,45,207.14
1,ch,1,2,x,46,208.16
1,ch,1,2,x,47,209.17000000000002
1,ch,1,2,x,48,210.19
1,ch,1,2,x,49,211.20999999999998
1,ch,1,2,x,50,212.23000000000002
1,ch,1,2,x,51,213.24
1,ch,1,2,x,52,214.26
1,ch,1,2,x,53,215.28
1,ch,1,2,x,54,216.29000000000002
1,ch,1,2,x,55,217.31
1,ch,1,2,x,56,218.32
1,ch,1,2,x,57,219.34
1,ch,1,2,x,58,220.36
1,ch,1,2,x,59,221.38
1,ch,1,2,x,60,222.39
1,ch,1,2,x,61,223.41
1,ch,1,2,x,62,224.43
1,ch,1,2,x,63,225.44
1,ch,1,2,x,64,226.45999999999998
1,ch,1,2,x,65,227.48000000000002
1,ch,1,2,x,66,228.49
